floor_code,floor_name,space_code,space_name,space_type,path_d
man-f1,1 Этаж,man-f1-lb,Лобби,room,M20 377 H1180 V437 H20 Z
man-f1,1 Этаж,man-f1-rr-f-t1,ТуалетЖен1 1эт,room,M20 34 H303 V200 H20 Z
man-f1,1 Этаж,man-f1-rr-f-t2,ТуалетЖен2 1эт,room,M20 206 H303 V371 H20 Z
man-f1,1 Этаж,man-f1-g,каб104,room,M309 34 H588 V205 H309 Z
man-f1,1 Этаж,man-f1-i1,каб103 (каморка 1),room,M309 211 H588 V324 H309 Z
man-f1,1 Этаж,man-f1-i2,каб103 (каморка 2),room,M309 330 H588 V371 H309 Z
man-f1,1 Этаж,man-f1-f,каб105,room,M594 34 H744 V371 H594 Z
man-f1,1 Этаж,man-f1-i,каб103,room,M750 34 H879 V371 H750 Z
man-f1,1 Этаж,man-f1-sl1,Лифтовая шахта,shaft,M885 34 H979 V371 H885 Z
man-f1,1 Этаж,man-f1-c,каб у туалета 1,room,M985 34 H1080 V371 H985 Z
man-f1,1 Этаж,man-f1-e,каб у туалета 3,room,M1086 34 H1180 V371 H1086 Z
man-f1,1 Этаж,man-f1-rr-m-t1,ТуалетМуж1 1эт,room,M20 443 H285 V608 H20 Z
man-f1,1 Этаж,man-f1-rr-m-t2,ТуалетМуж2 1эт,room,M20 614 H285 V780 H20 Z
man-f1,1 Этаж,man-f1-a,каб101вход,room,M291 443 H523 V525 H291 Z
man-f1,1 Этаж,man-f1-a1,каб101,room,M291 531 H523 V675 H291 Z
man-f1,1 Этаж,man-f1-a2,каб101вправо,room,M291 681 H523 V780 H291 Z
man-f1,1 Этаж,man-f1-b,каб102,room,M529 443 H708 V780 H529 Z
man-f1,1 Этаж,man-f1-sw1,Лестничная клетка 1,stairwell,M714 443 H803 V780 H714 Z
man-f1,1 Этаж,man-f1-sw2,Лестничная клетка 2,stairwell,M809 443 H897 V780 H809 Z
man-f1,1 Этаж,man-f1-ev,Входной Тамбур,room,M903 443 H991 V780 H903 Z
man-f1,1 Этаж,man-f1-d,каб у туалета 2,room,M997 443 H1086 V780 H997 Z
man-f1,1 Этаж,man-f1-h,Тепловой пункт,room,M1092 443 H1180 V780 H1092 Z
man-f2,2 Этаж,man-f2-cor,Коридоры 2эт,room,M20 377 H1180 V437 H20 Z
man-f2,2 Этаж,man-f2-c,Каб202,room,M20 34 H359 V222 H20 Z
man-f2,2 Этаж,man-f2-c1,Каб202 (каморка),room,M20 228 H359 V371 H20 Z
man-f2,2 Этаж,man-f2-rr-f-t1,ТуалетЖен1 2эт,room,M365 34 H639 V200 H365 Z
man-f2,2 Этаж,man-f2-rr-f-t2,ТуалетЖен2 2эт,room,M365 206 H639 V371 H365 Z
man-f2,2 Этаж,man-f2-a,Каб204,room,M645 34 H853 V274 H645 Z
man-f2,2 Этаж,man-f2-a1,Каб204 (каморка),room,M645 280 H853 V371 H645 Z
man-f2,2 Этаж,man-f2-g,Каб205,room,M859 34 H1022 V371 H859 Z
man-f2,2 Этаж,man-f2-d,Каб201,room,M1028 34 H1180 V371 H1028 Z
man-f2,2 Этаж,man-f2-f,Каб206,room,M20 443 H319 V591 H20 Z
man-f2,2 Этаж,man-f2-f1,Каб207,room,M20 597 H319 V780 H20 Z
man-f2,2 Этаж,man-f2-e,Каб208,room,M325 443 H586 V639 H325 Z
man-f2,2 Этаж,man-f2-e1,Каб208 (каморка 1),room,M325 645 H586 V725 H325 Z
man-f2,2 Этаж,man-f2-e2,Каб208 (каморка 2),room,M325 731 H586 V780 H325 Z
man-f2,2 Этаж,man-f2-rr-m-t1,ТуалетМуж1 2эт,room,M592 443 H846 V608 H592 Z
man-f2,2 Этаж,man-f2-rr-m-t2,ТуалетМуж2 2эт,room,M592 614 H846 V780 H592 Z
man-f2,2 Этаж,man-f2-b,Каб203,room,M852 443 H999 V780 H852 Z
man-f2,2 Этаж,man-f2-void,Второй свет 2эт,void,M1005 443 H1089 V780 H1005 Z
man-f2,2 Этаж,man-f2-h,Тех помещение у туалета 2эт,room,M1095 443 H1180 V780 H1095 Z
man-f3,3 Этаж,man-f3-cor,Корридоры 3эт,room,M20 377 H1180 V437 H20 Z
man-f3,3 Этаж,man-f3-c,Каб302,room,M20 34 H480 V145 H20 Z
man-f3,3 Этаж,man-f3-c1,Каб302 (каморка 1),room,M20 151 H480 V231 H20 Z
man-f3,3 Этаж,man-f3-c2,Каб302 (каморка 2),room,M20 237 H480 V304 H20 Z
man-f3,3 Этаж,man-f3-c3,Каб302 (каморка 3),room,M20 310 H480 V371 H20 Z
man-f3,3 Этаж,man-f3-rr-m-t1,ТуалетМуж1 3эт,room,M486 34 H755 V200 H486 Z
man-f3,3 Этаж,man-f3-rr-m-t2,ТуалетМуж2 3эт,room,M486 206 H755 V371 H486 Z
man-f3,3 Этаж,man-f3-a,Каб304,room,M761 34 H922 V371 H761 Z
man-f3,3 Этаж,man-f3-b,Каб303,room,M928 34 H1084 V371 H928 Z
man-f3,3 Этаж,man-f3-void,Второй свет 3эт,void,M1090 34 H1180 V371 H1090 Z
man-f3,3 Этаж,man-f3-f,Каб306,room,M20 443 H354 V591 H20 Z
man-f3,3 Этаж,man-f3-f1,Каб306 (каморка),room,M20 597 H354 V780 H20 Z
man-f3,3 Этаж,man-f3-rr-f-t1,ТуалетЖен1 3эт,room,M360 443 H643 V608 H360 Z
man-f3,3 Этаж,man-f3-rr-f-t2,ТуалетЖен2 3эт,room,M360 614 H643 V780 H360 Z
man-f3,3 Этаж,man-f3-e,Каб308,room,M649 443 H844 V780 H649 Z
man-f3,3 Этаж,man-f3-g,Каб305,room,M850 443 H1018 V780 H850 Z
man-f3,3 Этаж,man-f3-d,Каб301,room,M1024 443 H1180 V780 H1024 Z
man-f4,4 Этаж,man-f4-cor,Корридоры 4эт,room,M20 377 H1180 V437 H20 Z
man-f4,4 Этаж,man-f4-g,Каб406,room,M20 34 H523 V131 H20 Z
man-f4,4 Этаж,man-f4-g1,Каб408,room,M20 137 H523 V256 H20 Z
man-f4,4 Этаж,man-f4-g2,Каб407,room,M20 262 H523 V371 H20 Z
man-f4,4 Этаж,man-f4-f,Комната отдыха 4 эт,room,M529 34 H750 V252 H529 Z
man-f4,4 Этаж,man-f4-f1,Комната отдыха (каморка) 4 эт,room,M529 258 H750 V371 H529 Z
man-f4,4 Этаж,man-f4-b,Каб404,room,M756 34 H918 V371 H756 Z
man-f4,4 Этаж,man-f4-d,Каб402,room,M924 34 H1077 V371 H924 Z
man-f4,4 Этаж,man-f4-i,Каморка у туалета,room,M1083 34 H1180 V371 H1083 Z
man-f4,4 Этаж,man-f4-rr-f-t1,ТуалетЖен1 4эт,room,M20 443 H316 V608 H20 Z
man-f4,4 Этаж,man-f4-rr-f-t2,ТуалетЖен2 4эт,room,M20 614 H316 V780 H20 Z
man-f4,4 Этаж,man-f4-rr-m-t1,ТуалетМуж1 4эт,room,M322 443 H617 V608 H322 Z
man-f4,4 Этаж,man-f4-rr-m-t2,ТуалетМуж2 4эт,room,M322 614 H617 V780 H322 Z
man-f4,4 Этаж,man-f4-c,Каб403,room,M623 443 H791 V780 H623 Z
man-f4,4 Этаж,man-f4-a,Каб405,room,M797 443 H957 V780 H797 Z
man-f4,4 Этаж,man-f4-e,Каб401,room,M963 443 H1105 V780 H963 Z
man-f4,4 Этаж,man-f4-h,Каморка у лестницы,room,M1111 443 H1180 V780 H1111 Z
man-f5,5 Этаж,man-f5-cor,Коридор на 5 эт,room,M20 227 H680 V287 H20 Z
man-f5,5 Этаж,man-f5-a,Кабинет на 5 эт,room,M20 34 H680 V158 H20 Z
man-f5,5 Этаж,man-f5-rr,Туалет 5эт,room,M20 164 H680 V221 H20 Z
man-f5,5 Этаж,man-f5-sw1,Лестничная клетка на крышу,stairwell,M20 293 H680 V480 H20 Z
