uuid,order,bank_name,bik,bank_code,country,is_active,is_license_revocation,bik_end_date_bvu,is_bvu,parent
d8d4040e-3cb2-9409-4885-8edcd3e80360,1,"АО ""Народный банк Казахстана”",HSBKKZKX,601,Казахстан,TRUE,,,TRUE,
6e8ebb6d-62a1-49cc-43dc-eaddfb312331,2,"АО ""Kaspi Bank""",CASPKZKA,722,Казахстан,TRUE,,,TRUE,
63ec9ba2-5ae3-8e8f-4d56-ee9cb28d321a,3,"АО ""БанкЦентрКредит""",KCJBKZKX,856,Казахстан,TRUE,,,TRUE,
b27ca457-e7df-ba00-4b10-12779fafc689,4,"АО ""Отбасы банк""",HCSKKZKA,972,Казахстан,TRUE,,,TRUE,
b2d11e3c-57e9-982a-4f65-9ff057017584,5,"АО ""ForteBank""",IRTYKZKA,965,Казахстан,TRUE,,,TRUE,
7f867aef-9553-d78a-4b36-75f74de1369c,6,"АО ""Alatau City Bank""",TSESKZKA,998,Казахстан,TRUE,,,TRUE,
d4d6adaf-5e8d-1f9c-4ad5-1dd99d1716f9,7,"АО ""Freedom Bank Kazakhstan""",KSNVKZKA,551,Казахстан,TRUE,,,TRUE,
4cb78875-a2c0-3689-4f71-fbed05fb3022,8,"АО ""Bank RBK""",KINCKZKA,821,Казахстан,TRUE,,,TRUE,
be580bfe-e841-f9ed-4594-6248ed36882a,9,"АО ""Евразийский банк""",EURIKZKA,948,Казахстан,TRUE,,,TRUE,
244206ea-1253-efa6-4823-21c8f83fd5f7,10,"АО ""Bereke Bank""",BRKEKZKA,914,Катар,TRUE,,,TRUE,
9710e1c9-deb9-6a53-4797-1854dacaeaae,11,"АО ""Home Credit Bank""",INLMKZKA,886,Казахстан,TRUE,,,TRUE,
794d8105-d23f-a5ee-4aca-c8cf1e5c0ff7,12,"АО ""Ситибанк Казахстан""",CITIKZKA,832,США,TRUE,,,TRUE,
