lease,space_code,rate,area_m2
АР-101,man-f2-c,465000.00,76.39
АР-101,man-f2-c1,212000.00,44.49
АР-102,man-f3-a,356000.00,54.65
АР-103,man-f1-b,420000.00,70.97
АР-104,man-f4-a,285000.00,45.51
АР-104,man-f4-b,300000.00,48.14
АР-105,man-f2-e,360000.00,59.23
АР-105,man-f2-e1,35000.00,9.96
АР-106,man-f3-c,345000.00,54.27
АР-106,man-f3-c1,124000.00,28.42
АР-107,man-f4-g,273000.00,41.84
АР-107,man-f4-g1,377000.00,62.01
АР-108,man-f1-f,227000.00,43.54
АР-109,man-f1-f,265000.00,43.54
АР-110,man-f5-a,263000.00,46.61
АР-111,man-f1-a1,164000.00,23.56
