space,tenant,landlord,area_m2,rate,contract_no,from_days,to_days
man-f2-c,astana-logistic,130140009766,24.00,6500,АР-2026/11,-420,310
man-f2-c,alatau-soft,130140009766,22.50,6800,АР-2026/12,-150,580
man-f2-c,seitzhanov,,18.00,7000,,-60,240
man-f3-g,turan-consulting,130140009766,28.00,7200,АР-2025/47,-300,420
man-f3-g,kaspiy-trade,180540035878,26.50,7200,АР-2026/03,-80,650
man-f4-g,zhetisu-audit,180540035878,22.00,6900,АР-2025/88,-500,200
man-f4-g,nura-design,,,6900,,-120,300
man-f1-f,esil-stroy,130140009766,37.86,,АР-2024/12,-640,90
man-f1-lb,kokshe-bank,180540035878,2.00,45000,АР-2026/07,-200,530
man-f1-b,baiterek-pravo,130140009766,61.71,5800,АР-2022/19,-1400,-760
man-f1-b,sary-arka-media,130140009766,55.00,6100,АР-2024/05,-730,-95
man-f1-b,amanzhol,130140009766,30.00,6600,АР-2026/21,-40,690
man-f5-a,astana-logistic,180540035878,40.53,5200,АР-2023/33,-900,
man-f2-b,turan-consulting,130140009766,45.37,7000,АР-2025/51,-260,470
man-f2-e,kaspiy-trade,130140009766,51.50,6700,АР-2025/62,-330,400
man-f2-e1,kaspiy-trade,130140009766,8.66,3200,АР-2025/62,-330,400
man-f3-a,sary-arka-media,,47.52,7100,,-190,540
man-f3-c,nura-design,130140009766,47.19,6900,АР-2026/02,-110,620
man-f4-a,alatau-soft,180540035878,39.57,7300,АР-2026/09,-70,660
man-f4-e,seitzhanov,,30.90,7500,,-20,345
man-f1-a1,amanzhol,130140009766,20.49,8000,АР-2025/70,-220,510
man-f4-g1,esil-stroy,180540035878,53.92,6400,АР-2026/15,-55,675
man-f1-i,zhetisu-audit,130140009766,28.05,7000,АР-2024/41,-800,-210
