slug,name,short_name
geodesy,"Геодезия и картография","Геодезия"
geology,"Геология","Геология"
science,"Наука","Наука"
utilities,"Жилищно-коммунальное хозяйство","ЖКХ"
communications,"Связь","Связь"
culture,"Культура и искусство","Культура"
chemicals,"Химическая промышленность","Химпром"
ecology,"Экология","Экология"
light_industry,"Лёгкая промышленность","Лёгкая промышленность"
healthcare,"Здравоохранение","Медицина"
fishery,"Рыбное хозяйство","Рыбное хозяйство"
metallurgy,"Металлургия","Металлургия"
trade,"Торговля","Торговля"
transport,"Транспорт","Транспорт"
construction,"Строительство","Строительство"
mining,"Горнодобывающая промышленность","Горное дело"
oil_and_gas,"Нефтегазовый комплекс","Нефть и газ"
nuclear,"Атомная отрасль","Атомная отрасль"
machinery,"Машиностроение","Машиностроение"
education,"Образование","Образование"
defence_industry,"Оборонная промышленность","Оборонпром"
forestry,"Лесное хозяйство","Лесное хозяйство"
social_protection,"Социальная защита","Соцзащита"
security,"Охранная деятельность","Охрана"
it,"Информационные технологии","ИТ"
finance,"Финансы","Финансы"
agriculture,"Сельское хозяйство и пищевая промышленность","Сельское хозяйство"
energy,"Энергетика","Энергетика"
catering,"Общественное питание","Общепит"
