external_id,name,clean_name,type,inn_bin,role,country,date_base
000000161,"ТОО ""Центр крепежных систем""",Центр крепежных систем ТОО,ТОО,171040015142,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000615,"ТОО ""Atlant Stroy Service""",Atlant Stroy Service ТОО,ТОО,210940015152,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000616,"ТОО ""Evolution Technologies""",Evolution Technologies ТОО,ТОО,061240013051,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000619,"ТОО ""ABK-SAPA""",ABK-SAPA ТОО,ТОО,160440030832,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000620,"ТОО ""СанТехКомплект-2020""",СанТехКомплект-2020 ТОО,ТОО,201140014166,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000621,Строй-ДК Астана ТОО ,Строй-ДК Астана ТОО,ТОО,220140005495,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000624,Central City Properties ТОО ,Central City Properties ТОО,ТОО,201140031473,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000627,"ТОО ""BaiBars""",BaiBars ТОО,ТОО,161140005325,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000629,"ТОО ""Santeh KZ""",Santeh KZ ТОО,ТОО,211040003941,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000630,"ТОО ""SW Reseller""",SW Reseller ТОО,ТОО,170140027701,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000631,"ТОО ""ALTYN ZHAS TC""",ALTYN ZHAS TC ТОО,ТОО,191040025718,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000632,"ТОО ""Grass Clean""",Grass Clean ТОО,ТОО,201140005959,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000633,"ТОО ""ELITESARA""",ELITESARA ТОО,ТОО,110840017590,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000634,"ТОО ""SARA OptSales""",SARA OptSales ТОО,ТОО,091040010550,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000636,"ТОО ""Acvee Market Astana""",Acvee Market Astana ТОО,ТОО,090740010058,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000637,Евро Маркет Комплект ТОО ,Евро Маркет Комплект ТОО,ТОО,110140000095,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000638,"ТОО ""СТУДИЯ ТВОРЧЕСКИХ ПРОЕКТОВ ""ИКЕМ""",СТУДИЯ ТВОРЧЕСКИХ ПРОЕКТОВ ИКЕМ ТОО,ТОО,090940006196,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000644,"ТОО ""НВК Инжиниринг""",НВК Инжиниринг ТОО,ТОО,191240002687,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000645,"ТОО ""СтройТехПрогресс""",СтройТехПрогресс ТОО,ТОО,210440007537,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000597,"ТОО ""Сервис Плаза""",Сервис Плаза ТОО,ТОО,110240006662,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000598,"ТОО ""TD EURO Instrum """,TD EURO Instrum  ТОО,ТОО,150340009192,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000603,"ТОО ""InterClassKz LTD""",InterClassKz LTD ТОО,ТОО,190240032844,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000605,"ТОО ""Office-Expert.kz""",Office-Expert.kz ТОО,ТОО,110840005091,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000606,"ТОО ""AG Safety""",AG Safety ТОО,ТОО,181240012345,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000608,"ТОО ""Мұнай синтез""",Мұнай синтез ТОО,ТОО,090740007068,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000044,ИНСИ-МОСТ ТОО,ИНСИ-МОСТ ТОО,ТОО,010540004527,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000045,"Филиал ТОО ""TEK LED"" в городе Астана",Филиал TEK LED в городе Астана ТОО,ТОО,171141018882,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000012,SONA lab ТОО,SONA lab ТОО,ТОО,110540008888,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000013,"ТОО ""Жұмыс""",Жұмыс ТОО,ТОО,921040000201,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000527,Промвилс ТОО ,Промвилс ТОО,ТОО,170340011990,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000528,СПЕЦКАЗТРЕЙД ТОО ,СПЕЦКАЗТРЕЙД ТОО,ТОО,180740014029,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000529,Центр оборудования НС ТОО ,Центр оборудования НС ТОО,ТОО,200940034088,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000531,CST- KazSvyazComplekt ТОО ,CST- KazSvyazComplekt ТОО,ТОО,060240003448,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000532,MIR-GAZA ТОО ,MIR-GAZA ТОО,ТОО,200540015156,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000534,Семей-НОМАД ТОО  ,Семей-НОМАД ТОО,ТОО,080740011460,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000535,Металлстройгрупп - PVL ТОО ,Металлстройгрупп - PVL ТОО,ТОО,210940006926,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000536,Evrika Home Comfort ТОО ,Evrika Home Comfort ТОО,ТОО,140540003061,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000537,Danwil.kz ТОО ,Danwil.kz ТОО,ТОО,190140038522,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000538,АЛПРОФ  ТОО филиал в городе Нур-Султан ,АЛПРОФ филиал в городе Нур-Султан ТОО,ТОО,150341000075,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000539,Аксу KZ ТОО ,Аксу KZ ТОО,ТОО,090940009051,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000540,CARAVIT  CERAMICS (СЕРАВИТ СЕРАМИКС) ТОО ,CARAVIT CERAMICS (СЕРАВИТ СЕРАМИКС) ТОО,ТОО,030140004556,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000542,Nicolas (Николас) ТОО ,Nicolas (Николас) ТОО,ТОО,191140018233,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000543,ТОО Росток Астана ,Росток Астана ТОО,ТОО,150340002968,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000586,"ТОО ""Таза Жер 2014""",Таза Жер 2014 ТОО,ТОО,140340012696,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000588,ТОО ED LOGIC,ED LOGIC ТОО,ТОО,170840023526,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000083,ЕВРАЗИЯБИЛД Астана ТОО,ЕВРАЗИЯБИЛД Астана ТОО,ТОО,121240003523,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000084,"ТОО ""СТРОПС """,СТРОПС  ТОО,ТОО,090340020368,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000085,Азия Стиль ТОО,Азия Стиль ТОО,ТОО,030940000176,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000087,Алатау Алем-Арт ТОО,Алатау Алем-Арт ТОО,ТОО,120240003312,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000088,YMGroup ТОО,YMGroup ТОО,ТОО,111040016774,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000090,Golden-Service NA ТОО,Golden-Service NA ТОО,ТОО,150940007128,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000091,MANHATTAN BUSINESS ACADEMY ТОО,MANHATTAN BUSINESS ACADEMY ТОО,ТОО,160440031283,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000092,Саксес ТОО,Саксес ТОО,ТОО,970740000382,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000096,UCON Tay ТОО,UCON Tay ТОО,ТОО,080240011620,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000097,Центр газонных трав ТОО,Центр газонных трав ТОО,ТОО,930840000140,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000098,Проф Инструмент ТОО,Проф Инструмент ТОО,ТОО,140640011916,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000099,Алейрон ТОО,Алейрон ТОО,ТОО,950340000443,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000101,Нац.центр экспертизы РГП на ПХВ,Нац.центр экспертизы РГП на ПХВ,РГП на ПХВ,150741024821,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000102,"ТОО ""Rus Yel"" ",Rus Yel ТОО,ТОО,100540001234,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000103,СанТехно-В ТОО,СанТехно-В ТОО,ТОО,051240003012,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000133," ТОО ""Мечта Маркет""",Мечта Маркет ТОО,ТОО,121040002914,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000547,Astana Management Company ( Астана Менеджмент Компани) ТОО ,Astana Management Company ( Астана Менеджмент Компани) ТОО,ТОО,130840014262,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
000000548,VIAR-COMPANY TOO,VIAR-COMPANY TOO,TOO,050540008418,Поставщики ,КАЗАХСТАН,ТОО «DOWNTOWN MANAGEMENT»
