line_of_business,slug,name,short_name,day,month,week_of_month,weekday
geodesy,geodesy_day,"День землеустройства, геодезии и картографии","День геодезиста",,3,2,6
geology,geology_day,"День геолога","День геолога",,4,1,7
science,science_day,"День работников науки","День науки",12,4,,
utilities,utilities_day,"День работников сферы жилищно-коммунального хозяйства","День ЖКХ",16,4,,
communications,communications_day,"День работников связи","День связи",17,5,,
culture,culture_day,"День работников культуры и искусства","День культуры",21,5,,
chemicals,chemicals_day,"День работников химической промышленности","День химика",,5,-1,7
ecology,ecology_day,"День эколога","День эколога",5,6,,
light_industry,light_industry_day,"День работников лёгкой промышленности","День лёгкой промышленности",,6,2,7
healthcare,healthcare_day,"День медицинского работника","День медика",,6,3,7
fishery,fishery_day,"День работников рыбного хозяйства","День рыбака",,7,2,7
metallurgy,metallurgy_day,"День металлурга","День металлурга",,7,3,7
trade,trade_day,"День работников торговли","День торговли",,7,4,7
transport,transport_day,"День работников транспорта","День транспорта",,8,1,7
construction,construction_day,"День строителя","День строителя",,8,2,7
mining,mining_day,"День шахтёра","День шахтёра",,8,-1,7
oil_and_gas,oil_and_gas_day,"День работников нефтегазового комплекса","День нефтяника",,9,1,7
nuclear,nuclear_day,"День работников атомной отрасли","День атомщика",28,9,,
machinery,machinery_day,"День машиностроителя","День машиностроителя",,9,-1,7
education,education_day,"День учителя","День учителя",5,10,,
defence_industry,defence_industry_day,"День работников оборонной промышленности","День оборонпрома",6,10,,
forestry,forestry_day,"День работника лесного хозяйства","День лесника",,10,3,7
social_protection,social_protection_day,"День работников системы социальной защиты","День соцзащиты",,10,-1,7
security,security_day,"День работников охранных организаций","День охраны",29,10,,
it,it_day,"День работников цифровизации и информационных технологий","День ИТ",10,11,,
finance,finance_day,"День работников финансовой системы Республики Казахстан","День финансиста",15,11,,
agriculture,agriculture_day,"День работников сельского хозяйства, пищевой и перерабатывающей промышленности","День аграрника",,11,3,7
energy,energy_day,"День энергетика","День энергетика",,12,3,7
