type,subtype,name_ru,name_en,grp,mep_hint,sort_order,Комментарий,
site,office_complex,Офисный комплекс,Office complex,,,10,,
site,mixed_use_site,Многофункциональный комплекс (МФК),Mixed-use complex,,,20,,
site,industrial_park,Индустриальный / логистический парк,Industrial park,,,30,,
building,office_building,Офисное здание,Office building,,,10,,
building,mixed_use_building,Многофункциональное здание,Mixed-use building,,,20,,
building,retail,Торговое здание,Retail building,,,30,,
building,parking_garage,Здание паркинга,Parking garage,,,40,,
building,warehouse,Складское здание,Warehouse,,,50,,
building,auxiliary,Вспомогательное строение,Auxiliary building,,,60,"КПП-здания, павильоны",
wing,tower,Башня,Tower,,,10,,
wing,podium,Стилобат,Podium,,,20,,
wing,annex,Пристройка,Annex,,,30,,
wing,gallery,Переход / галерея,Gallery / skybridge,,,40,связь между корпусами — space_link 'connects',
floor,standard,Типовой этаж,Standard floor,,,10,,
floor,ground,Входной (первый) этаж,Ground floor,,,20,,
floor,socle,Цокольный этаж,Socle floor,,,30,,
floor,underground,Подземный этаж,Underground floor,,,40,floor_number < 0,
floor,technical,Технический этаж,Technical floor,,,50,,
floor,parking,Паркинг-уровень,Parking level,,,60,,
floor,attic,Чердак,Attic,,,70,,
mezzanine,mezzanine_office,Офисная антресоль,Office mezzanine,,,10,площадь считается в GLA,
mezzanine,mezzanine_storage,Складская антресоль,Storage mezzanine,,,20,,
mezzanine,mezzanine_technical,Техническая антресоль,Technical mezzanine,,,30,площадки обслуживания оборудования,
room,office,Офис,Office,leasable,,10,,
room,street_retail,Стрит-ритейл,Street retail,leasable,,20,,
room,food_service,Общепит,Food service,leasable,,30,,
room,bank,Отделение банка,Bank branch,leasable,,40,,
room,medical,Медицинский центр,Medical center,leasable,,50,,
room,fitness,Фитнес,Fitness,leasable,,60,,
room,showroom,Шоурум,Showroom,leasable,,70,,
room,tenant_storage,Склад арендатора,Tenant storage,leasable,,80,,
room,coworking,Коворкинг,Coworking,leasable,,90,,
room,conference_hall,Конференц-зал,Conference hall,leasable,,100,если сдаётся, амьюнити БЦ — грп common
room,lobby,Лобби / вестибюль,Lobby,common,,110,,
room,reception,Ресепшн,Reception,common,,120,,
room,corridor,Коридор,Corridor,common,,130,,
room,elevator_hall,Лифтовой холл,Elevator hall,common,,140,,
room,restroom,Санузел,Restroom,common,,150,,
room,terrace,Терраса / балкон,Terrace,common,,160,,
room,smoking_room,Курительная,Smoking room,common,,170,,
room,vestibule,Входная группа / тамбур,Entrance vestibule,common,,180,,
room,atrium,Атриум,Atrium,common,,190,обычно double_height + void на верхних этажах,
room,itp,ИТП (тепловой пункт),Heating substation,technical,Отопление и теплоснабжение,200,,
room,boiler,Котельная,Boiler room,technical,Отопление и теплоснабжение,210,,
room,pump_station,Насосная,Pump station,technical,Водоснабжение и канализация,220,,
room,fire_pump,Пожарная насосная,Fire pump room,technical,Пожарная безопасность,230,по нормам обычно выделенное помещение,
room,ahu_room,Венткамера,AHU room,technical,Вентиляция и кондиционирование,240,,
room,chiller_plant,Холодильный центр,Chiller plant,technical,Вентиляция и кондиционирование,250,холодоснабжение,
room,switchboard,Электрощитовая (ГРЩ),Main switchboard room,technical,Электроснабжение,260,,
room,transformer,Трансформаторная (ТП/КТП),Transformer substation,technical,Электроснабжение,270,,
room,dgu,Помещение ДГУ,Diesel generator room,technical,Электроснабжение,280,,
room,elevator_machine,Машинное отделение лифтов,Elevator machine room,technical,Вертикальный транспорт,290,,
room,server_room,Серверная,Server room,technical,Слаботочные системы и связь,300,,
room,telecom,Узел связи / кроссовая,Telecom room,technical,Слаботочные системы и связь,310,,
room,water_meter,Водомерный узел,Water meter room,technical,Водоснабжение и канализация,320,,
room,sprinkler,Узел управления АУПТ,Sprinkler control room,technical,Пожарная безопасность,330,,
room,control_room,Диспетчерская / пост охраны,Control room,technical,Безопасность,340,,
room,workshop,Мастерская,Workshop,technical,,350,,
room,spare_parts,Склад ЗИП,Spare parts storage,technical,,360,локация остатков для этапа 2,
room,cleaning,КУИ (уборочный инвентарь),Cleaning storage,technical,,370,,
room,garbage_room,Мусорокамера,Garbage room,technical,,380,,
room,staff_room,Бытовка персонала,Staff room,technical,,390,,
room,archive,Архив,Archive,technical,,400,,
room,loading_dock,Дебаркадер / зона разгрузки,Loading dock,technical,,410,,
room,tech_combined,Совмещённый техузел,Combined plant room,technical,,420,типовой для малых БЦ: ИТП + насосные + котельная в одном объёме, функции — по активам
shaft,elevator,Лифтовая шахта,Elevator shaft,,Вертикальный транспорт,10,,
shaft,ventilation,Вентиляционная шахта,Ventilation shaft,,Вентиляция и кондиционирование,20,,
shaft,smoke_exhaust,Шахта дымоудаления,Smoke exhaust shaft,,Пожарная безопасность,30,,
shaft,cable,Кабельная шахта,Cable shaft,,Электроснабжение,40,,
shaft,low_current,Слаботочный стояк,Low-current riser,,Слаботочные системы и связь,50,,
shaft,plumbing,Сантехническая шахта (стояки),Plumbing riser shaft,,Водоснабжение и канализация,60,,
shaft,garbage_chute,Мусоропровод,Garbage chute,,,70,,
stairwell,regular,Обычная лестничная клетка,Regular stairwell,,,10,,
stairwell,smoke_free,Незадымляемая (Н1–Н3),Smoke-free stairwell,,Пожарная безопасность,20,,
stairwell,external,Наружная эвакуационная,External escape stair,,Пожарная безопасность,30,,
roof,operated,Эксплуатируемая кровля,Operated roof,,,10,,
roof,non_operated,Неэксплуатируемая кровля,Non-operated roof,,,20,,
roof,pitched,Скатная кровля,Pitched roof,,,30,,
roof,green,Зелёная кровля,Green roof,,,40,,
facade,curtain_wall,Витражный (навесной),Curtain wall,,,10,,
facade,ventilated,Вентилируемый фасад,Ventilated facade,,,20,,
facade,plaster,Штукатурный фасад,Plaster facade,,,30,,
facade,media,Медиафасад,Media facade,,Электроснабжение,40,,
territory,open_parking,Открытая парковка,Open parking,,,10,,
territory,checkpoint,КПП,Checkpoint,,Безопасность,20,,
territory,waste_area,Площадка ТБО,Waste area,,,30,,
territory,landscaping,Благоустройство,Landscaping,,,40,,
territory,driveway,Внутренние проезды,Driveway,,,50,,
parking_spot,standard_parking_spot,Стандартное машиноместо,Standard spot,,,10,,
parking_spot,disabled,Место для МГН,Accessible spot,,,20,,
parking_spot,ev_charging,С зарядкой электромобиля,EV charging spot,,Электроснабжение,30,,
parking_spot,moto,Мотоместо,Motorcycle spot,,,40,,
parking_spot,tandem,Зависимое (тандем),Tandem spot,,,50,,
