parent,name,short_name,description,code,is_leaf
,Механические системы,,,,
,Электроснабжение,,,,
,Водоснабжение и канализация,,,,
,Противопожарные системы,,,,
,Слаботочные системы,,,,
,Безопасность,,,,
,Автоматизация,,,,
,Вертикальный транспорт,,,,
,Эксплуатационные системы,,,,
Автоматизация,Мониторинг,,,,
Автоматизация,Управление зданием,,,,
Автоматизация,Цифровые сервисы,,,,
Автоматизация,Энергоучёт,,,,
Безопасность,Видеонаблюдение,,,,
Безопасность,Досмотр,,,,
Безопасность,Контроль доступа,,,,
Безопасность,Парковка,,,,
Безопасность,Периметр,,,,
Безопасность,Сигнализация,,,,
Безопасность,Управление безопасностью,,,,
Вертикальный транспорт,Доступность,,,,
Вертикальный транспорт,Лифты,,,,
Вертикальный транспорт,Эскалаторы,,,,
Водоснабжение и канализация,Водоснабжение,,,,
Водоснабжение и канализация,Канализация,,,,
Механические системы,Вентиляция,,,,
Механические системы,Газоснабжение,,,,
Механические системы,Кондиционирование,,,,
Механические системы,Теплоснабжение,,,,
Механические системы,Холодоснабжение,,,,
Противопожарные системы,Обнаружение,,,,
Противопожарные системы,Оповещение,,,,
Противопожарные системы,Пассивная защита,,,,
Противопожарные системы,Противодымная защита,,,,
Противопожарные системы,Тушение,,,,
Противопожарные системы,Управление,,,,
Слаботочные системы,Кабельная инфраструктура,,,,
Слаботочные системы,Помещения связи,,,,
Слаботочные системы,Связь,,,,
Слаботочные системы,Сети передачи данных,,,,
Слаботочные системы,Трансляция,,,,
Эксплуатационные системы,Безопасность кровли,,,,
Эксплуатационные системы,Благоустройство,,,,
Эксплуатационные системы,Входные группы,,,,
Эксплуатационные системы,Логистика,,,,
Эксплуатационные системы,Наружные системы,,,,
Эксплуатационные системы,Обогрев,,,,
Эксплуатационные системы,Обслуживание фасада,,,,
Эксплуатационные системы,Отходы,,,,
Эксплуатационные системы,Сервисы арендаторов,,,,
Эксплуатационные системы,Транспорт,,,,
Электроснабжение,Внешнее электроснабжение,,,,
Электроснабжение,Генерация,,,,
Электроснабжение,Защита,,,,
Электроснабжение,Освещение,,,,
Электроснабжение,Распределение,,,,
Электроснабжение,Резервное питание,,,,
Электроснабжение,Учёт,,,,
Теплоснабжение,"Отопление (радиаторное, конвекторное)",,,HTG,TRUE
Теплоснабжение,Индивидуальный тепловой пункт,,,ITP,TRUE
Теплоснабжение,Теплые полы,,,UFH,TRUE
Теплоснабжение,Воздушные завесы,,,AC,TRUE
Вентиляция,Приточные установки,,,AHU,TRUE
Вентиляция,Вытяжные установки,,,EAU,TRUE
Вентиляция,Рекуперация тепла,,,HRV,TRUE
Вентиляция,Вентиляция паркинга,,,CPV,TRUE
Вентиляция,Кухонная вытяжная вентиляция,,,KEV,TRUE
Кондиционирование,Чиллеры,,,CH,TRUE
Кондиционирование,Градирни,,,CT,TRUE
Кондиционирование,Фанкойлы,,,FCU,TRUE
Кондиционирование,Мультизональные системы,,,VRF,TRUE
Кондиционирование,Сплит-системы,,,SAC,TRUE
Кондиционирование,Прецизионное кондиционирование (серверные),,,CRAC,TRUE
Холодоснабжение,Контур холодной воды,,,CHW,TRUE
